Date,Open,High,Low,Close,Adj Close,Volume
2002-08-27,25.951599,25.951599,25.144800,25.817200,13.072557,202432743
2002-08-28,25.279301,25.413799,25.212099,25.279301,12.800193,203994
2002-08-29,25.279301,25.413799,25.212099,25.413799,12.868296,115158
2002-08-30,25.144800,25.144800,24.875900,24.875900,12.595928,226082
2002-09-02,24.741400,24.741400,23.531300,24.203600,12.255509,290039566
2002-09-03,24.136400,24.136400,23.060600,24.001900,12.153378,235013240
2002-09-04,22.926201,23.733000,22.926201,23.665701,11.983145,71423011
2002-09-05,23.867399,23.867399,23.262300,23.329599,11.812958,117515
2002-09-06,null,null,null,null,null,null
2002-09-09,23.195101,23.531300,23.060600,23.531300,11.915092,141301327
2002-09-10,24.203600,24.539801,23.262300,24.539801,12.425745,467038070
2002-09-11,24.338100,24.405300,24.001900,24.001900,12.153378,71394355
2002-09-12,23.598499,23.665701,23.329599,23.329599,11.812958,160637298
2002-09-13,23.195101,23.329599,22.993401,23.262300,11.778883,141301
2002-09-16,23.195101,23.195101,22.926201,23.195101,11.744857,51868
2002-09-17,23.195101,24.001900,22.926201,24.001900,12.153378,65444825
2002-09-18,23.867399,23.867399,23.262300,23.598499,11.949115,58007913
2002-09-19,23.464001,23.531300,23.195101,23.396799,11.846987,41646707
2002-09-20,22.993401,23.464001,22.993401,23.464001,11.881013,63957443
2002-09-23,23.195101,23.464001,23.195101,23.464001,11.881013,28260265
2002-09-24,23.060600,23.060600,22.657200,22.993401,11.642726,121965
2002-09-25,22.993401,22.993401,21.648800,22.052200,11.166146,144276
2002-09-26,22.321100,22.724501,22.321100,22.522800,11.404435,113784753
2002-09-27,22.858900,22.858900,21.581499,22.186600,11.234200,96977332
2002-09-30,22.119400,22.119400,21.110901,22.052200,11.166146,98410
2002-10-01,21.850500,22.052200,21.850500,21.984900,11.132070,16182447
2002-10-02,22.253901,22.522800,21.984900,21.984900,11.132070,47596
2002-10-03,21.984900,21.984900,21.716000,21.850500,11.064015,17862234
2002-10-04,21.850500,21.850500,21.648800,21.648800,10.961884,34215253
2002-10-07,21.850500,21.850500,20.640301,21.178101,10.723545,168074210
2002-10-08,21.178101,21.178101,20.707500,21.178101,10.723545,54855
2002-10-09,21.514299,21.514299,21.178101,21.178101,10.723545,18860
2002-10-10,null,null,null,null,null,null
2002-10-11,21.312599,21.312599,21.178101,21.178101,10.723545,28261630
2002-10-14,20.841999,20.841999,20.236900,20.505800,10.383125,162126045
2002-10-15,20.505800,21.447100,20.505800,21.379801,10.825677,272190977
2002-10-16,21.716000,21.716000,20.841999,21.379801,10.825677,178486
2002-10-17,21.245399,22.253901,21.245399,21.245399,10.757622,118990591
2002-10-18,21.783199,22.186600,21.514299,21.917700,11.098042,226082
2002-10-21,22.119400,22.522800,22.119400,22.321100,11.302304,117504573
2002-10-22,22.522800,22.590000,21.917700,22.253901,11.268278,101599134
2002-10-23,22.186600,22.590000,22.052200,22.522800,11.404435,483404735
2002-10-24,22.522800,22.926201,22.052200,22.522800,11.404435,252915
2002-10-25,22.791700,22.791700,22.052200,22.590000,11.438464,132258315
2002-10-28,22.657200,23.195101,22.657200,22.858900,11.574620,237990734
2002-10-29,22.657200,22.791700,22.119400,22.791700,11.540594,181531
2002-10-30,22.522800,22.522800,22.119400,22.186600,11.234200,123536
2002-10-31,22.522800,22.522800,22.186600,22.186600,11.234200,84782
2002-11-01,22.253901,22.253901,22.119400,22.119400,11.200173,118547
2002-11-04,22.186600,22.388300,21.648800,21.850500,11.064015,211212393
2002-11-05,22.186600,22.186600,21.716000,22.052200,11.166146,49152
2002-11-06,22.119400,22.321100,22.119400,22.253901,11.268278,69908337
2002-11-07,22.253901,22.455601,22.052200,22.052200,11.166146,91462
2002-11-08,22.186600,22.321100,22.052200,22.321100,11.302304,204516443
2002-11-11,22.522800,23.800200,22.522800,23.195101,11.744857,529511
2002-11-12,23.262300,24.270800,23.262300,23.665701,11.983145,229065075
2002-11-13,24.203600,24.338100,22.993401,24.203600,12.255509,791736375
2002-11-14,24.203600,24.203600,23.060600,23.464001,11.881013,714658582
2002-11-15,23.665701,24.136400,23.396799,23.733000,12.017221,589006156
2002-11-18,24.405300,24.472500,23.665701,23.665701,11.983145,383166079
2002-11-19,23.396799,23.396799,22.253901,22.858900,11.574620,499763212
2002-11-20,22.724501,22.724501,21.514299,22.522800,11.404435,1045630
2002-11-21,22.388300,22.388300,21.850500,21.917700,11.098042,194847093
2002-11-22,22.321100,22.522800,21.917700,22.052200,11.166146,214185793
